QuestionNum,Question,Answer,exp,subjectId,date
1,How old are you?,36,HRV,HRV_0279,2022-11-30 20:53:00
2,How fluent are you in reading and understanding English?,Extremely,HRV,HRV_0279,2022-11-30 20:53:00
3,Is English your native language?,Yes,HRV,HRV_0279,2022-11-30 20:53:00
4,What state do you live in?,CT,HRV,HRV_0279,2022-11-30 20:53:00
5,What is your sex?,Female,HRV,HRV_0279,2022-11-30 20:53:00
6,What is your race/ethnicity?,White,HRV,HRV_0279,2022-11-30 20:53:00
7,"We want to check that you are paying attention, please select ""Moderately"" as your answer.",Moderately,HRV,HRV_0279,2022-11-30 20:53:00
8,"What is the highest degree or level of school that you have completed? (If you are currently enrolled in school, please indicate the highest degree you have received) ",High school degree or equivalent (e.g. GED),HRV,HRV_0279,2022-11-30 20:53:00
9,What is your household income?,"Less than $20,000",HRV,HRV_0279,2022-11-30 20:53:00
10,Are you vegetarian or vegan?,No,HRV,HRV_0279,2022-11-30 20:53:00
