QuestionNum,Question,Answer,exp,subjectId,date
1,How old are you?,55,HRV,HRV_0100,2022-11-30 18:10:40
2,How fluent are you in reading and understanding English?,Extremely,HRV,HRV_0100,2022-11-30 18:10:40
3,Is English your native language?,Yes,HRV,HRV_0100,2022-11-30 18:10:40
4,What state do you live in?,Illinois,HRV,HRV_0100,2022-11-30 18:10:40
5,What is your sex?,Female,HRV,HRV_0100,2022-11-30 18:10:40
6,What is your race/ethnicity?,White,HRV,HRV_0100,2022-11-30 18:10:40
7,"We want to check that you are paying attention, please select ""Moderately"" as your answer.",Moderately,HRV,HRV_0100,2022-11-30 18:10:40
8,"What is the highest degree or level of school that you have completed? (If you are currently enrolled in school, please indicate the highest degree you have received) ",Bachelor's Degree,HRV,HRV_0100,2022-11-30 18:10:40
9,What is your household income?,"$75,000 to $99,999",HRV,HRV_0100,2022-11-30 18:10:40
10,Are you vegetarian or vegan?,No,HRV,HRV_0100,2022-11-30 18:10:40
